ALGORITHM,START,END,TYPE,COMPANY,ERROR
CNN,2011-06-01,2016-06-01,RMSE,MSFT,1.0173684918674155
CNN,2011-06-01,2016-06-01,MAPE,MSFT,0.013444220060890907
CNN,2012-01-01,2017-01-01,RMSE,MSFT,1.6450996634116852
CNN,2012-01-01,2017-01-01,MAPE,MSFT,0.017883462178642468
CNN,2012-06-01,2017-06-01,RMSE,MSFT,2.1955111847053757
CNN,2012-06-01,2017-06-01,MAPE,MSFT,0.020573214242177867
CNN,2013-01-01,2018-01-01,RMSE,MSFT,2.794713325440081
CNN,2013-01-01,2018-01-01,MAPE,MSFT,0.022575822183122672
CNN,2013-06-01,2018-06-01,RMSE,MSFT,2.6009593720182083
CNN,2013-06-01,2018-06-01,MAPE,MSFT,0.01904216476073195
CNN,2014-01-01,2019-01-01,RMSE,MSFT,2.821440636072518
CNN,2014-01-01,2019-01-01,MAPE,MSFT,0.01753726609948229
CNN,2014-06-01,2019-06-01,RMSE,MSFT,7.657592215207818
CNN,2014-06-01,2019-06-01,MAPE,MSFT,0.031604303517849694
