ALGORITHM,START,END,TYPE,COMPANY,ERROR
CNN,2011-06-01,2016-06-01,RMSE,MSFT,0.4994734306895623
CNN,2011-06-01,2016-06-01,MAPE,MSFT,2.776440903261745
CNN,2012-01-01,2017-01-01,RMSE,MSFT,0.5777300787456581
CNN,2012-01-01,2017-01-01,MAPE,MSFT,2.051464551471869
CNN,2012-06-01,2017-06-01,RMSE,MSFT,0.871115434113816
CNN,2012-06-01,2017-06-01,MAPE,MSFT,3.1343567177683145
CNN,2013-01-01,2018-01-01,RMSE,MSFT,1.228810916541459
CNN,2013-01-01,2018-01-01,MAPE,MSFT,1.482505292310745
CNN,2013-06-01,2018-06-01,RMSE,MSFT,1.2192382444420495
CNN,2013-06-01,2018-06-01,MAPE,MSFT,1.53960633921537
CNN,2014-01-01,2019-01-01,RMSE,MSFT,1.2412821872080062
CNN,2014-01-01,2019-01-01,MAPE,MSFT,3.041589588503484
CNN,2014-06-01,2019-06-01,RMSE,MSFT,3.052469612150596
CNN,2014-06-01,2019-06-01,MAPE,MSFT,35.30573729970804
